seed,loglik,converged,ARI_vs_committed,mean_dur
48,-4683.783567179889,True,1.0,55.857142857142854
59,-4692.496454558326,True,0.3848754205176747,47.39393939393939
61,-4692.4965761238645,True,0.3848754205176747,47.39393939393939
60,-4692.496928364273,True,0.3848754205176747,47.39393939393939
49,-4708.37576651824,True,0.4198679842219435,41.1578947368421
44,-4728.275439221119,True,0.32003081003618955,50.45161290322581
47,-4728.275635459148,True,0.32003081003618955,50.45161290322581
51,-4728.275721946074,True,0.32003081003618955,50.45161290322581
54,-4728.275743569667,True,0.32003081003618955,50.45161290322581
55,-4728.275943156382,True,0.32003081003618955,50.45161290322581
56,-4730.100700264791,True,0.3335184727584177,53.93103448275862
58,-4736.963804675583,True,0.6210386864681837,47.39393939393939
43,-4740.228401006373,True,0.7147052690736388,57.925925925925924
46,-4740.504979904616,True,0.7369099945969312,57.925925925925924
50,-4769.821655868382,True,0.5486154690546869,50.45161290322581
42,-4769.88770659455,True,0.552386178800672,50.45161290322581
45,-5291.834409186281,True,0.35578036056982926,2.341317365269461
57,-5291.879402906991,True,0.3552177959459493,2.2732558139534884
52,-5292.075655063253,True,0.35387281765485745,2.3448275862068964
53,-5292.075893362909,True,0.3536937218040734,2.330849478390462
