,value
GMM vs HMM Viterbi,0.3481796594576859
GMM vs HMM filtered,0.33161779676689634
Post-2005 ARI,0.2597137807663686
Pre-2005 ARI,0.5509336971627167
Raw label agreement (named),0.35741687979539644
