Definition,ratio,CI lo,CI hi
naive,6.2142857142857135,3.7004057449495753,9.933134351965428
L2-only,4.578947368421052,2.6068321420343543,7.579688178261409
fully-causal rolling,2.1875,1.6999250495508818,2.7938949137528875
fully-causal expanding,5.2,2.9917778522314524,8.52582690964673
