,GMM,HMM Viterbi,HMM filtered
Calm,0.5242861831803018,0.0998256461849344,0.15537866853529142
Transitional,0.6178984458099183,0.12971984415515228,0.14105261704102973
Stressful,0.6433943859728986,0.17957584979718483,0.23317071321725463
Average,0.5951930049877062,0.13637378004575718,0.17653399959785862
