,VIX,Yield_Spread,Mean weekly return,Share,Max DD (within spell),Mkt DD while in regime
Calm,14.824233334859212,1.1297555555555556,0.0035300330570892636,0.5754475703324808,-0.07499482661081788,-0.41156559219599
Transitional,23.758655095048685,0.28548806941431676,-0.0012612872234650395,0.29475703324808183,-0.2579877041113972,-0.2891597442394088
Stressful,31.82068955839561,2.0864039408866994,-0.0013696072624112669,0.12979539641943735,-0.45550878923204174,-0.5624407840199664
