,GMM,HMM (Viterbi)
Agreement with VIX>20 (%),0.7289002557544757,0.7921994884910486
Cohen's kappa (Stress vs rest),0.350120247197662,0.5507129548114285
Model Stress recall vs baseline,0.31795716639209226,0.6606260296540363
Model Stress precision vs baseline,0.9507389162561576,0.7711538461538462
