,Full-sample,Rolling,Expanding
Recession weeks (% Stressful),0.582089552238806,0.6119402985074627,0.44029850746268656
Non-recession weeks (% Stressful),0.3230769230769231,0.2915155910079768,0.3538796229151559
Recession weeks (n),134.0,134.0,134.0
