,Full-sample,Rolling,Expanding
Agreement with VIX>20 (%),0.7934782608695652,0.6946463978849967,0.7587574355584931
Cohen's kappa (Stress vs rest),0.5562235801354243,0.3421503874597436,0.4893830470862902
Model Stress recall vs baseline,0.6787479406919276,0.5181518151815182,0.6501650165016502
Model Stress precision vs baseline,0.762962962962963,0.6487603305785123,0.720292504570384
