Date,SP500_Return,VIX,Yield_Spread,Regime_GMM,Regime_label
1994-01-14,0.3773386114285,-1.044307021076964,0.6564558657475847,1,Calm
1994-01-21,-0.0778352416435807,-1.0516666039958753,0.6890111809021402,1,Calm
1994-01-28,0.2840147919558456,-1.1927266023642409,0.6456040940293996,1,Calm
1994-02-04,-0.8365808258019859,-0.5413976651175069,0.5587899202839177,1,Calm
1994-02-11,-0.0287265269912897,-0.638299698058558,0.4719757465384358,1,Calm
1994-02-18,-0.2808941803666188,-0.6088611324259894,0.5587899202839177,1,Calm
1994-02-25,-0.2047921569066874,-0.5965950049231884,0.5262346051293619,1,Calm
1994-03-04,-0.1794778769179966,-0.4494020597818838,0.5370863768475472,1,Calm
1994-03-11,0.0897273035806404,-0.5880087858583045,0.5479381485657324,1,Calm
1994-03-18,0.3463463558761308,-0.7781330602809509,0.4936792899748062,1,Calm
1994-03-25,-0.9918058067716312,-0.7352017309996093,0.5479381485657324,1,Calm
1994-04-01,-1.413020864165868,0.096438625458915,0.6021970071566586,1,Calm
1994-04-08,0.0619297282204874,-0.3365541078785761,0.5479381485657324,1,Calm
1994-04-15,-0.1464775927330441,-0.4518553320738286,0.4936792899748062,1,Calm
1994-04-22,0.0729050150496375,-0.5794225667934207,0.330902714202028,1,Calm
1994-04-29,0.2406628494918984,-0.7229356034968082,0.3526062576383985,1,Calm
1994-05-06,-0.3456818656004494,-0.5622500116851914,0.2440885404565461,1,Calm
1994-05-13,-0.4025551859620756,-0.6284868428477017,0.2549403121747313,1,Calm
1994-05-20,0.9305622551063016,-0.8431432552974888,0.2332367687383608,1,Calm
1994-05-27,0.1572358970944986,-0.8799415208274303,0.1572743667110642,1,Calm
1994-06-03,0.19116116340035,-0.9167397863573716,0.146422594992879,1,Calm
1994-06-10,-0.1927240563617976,-0.8554093828002898,0.1898296818656199,1,Calm
1994-06-17,-0.0811275546621596,-0.902020386562626,0.2766438556111018,1,Calm
1994-06-24,-1.4977912338397368,-0.361086362884178,0.1681261384292494,1,Calm
1994-07-01,0.2550710577487241,-0.6505658255613589,0.1572743667110642,1,Calm
1994-07-08,0.2480653461116095,-0.7854926431998626,0.1789779101474347,1,Calm
1994-07-15,0.3606746650609567,-1.0283611021147072,0.2223849970201756,1,Calm
1994-07-22,-0.1570166465830551,-1.0357206850336187,0.146422594992879,1,Calm
1994-07-29,0.4061411881759105,-1.0467601763904473,0.1355708232746937,1,Calm
1994-08-05,-0.1670151409489961,-0.8983405951031703,0.1030155081201383,1,Calm
1994-08-12,0.3752413575657747,-1.0516666039958753,0.0487566495292121,1,Calm
1994-08-19,0.0942070031525978,-0.8382368276920604,0.0379048778110269,1,Calm
1994-08-26,0.8316690689001367,-0.9167397863573716,0.0270531060928416,1,Calm
1994-09-02,-0.3073027086954145,-1.0136418192984231,0.0379048778110269,1,Calm
1994-09-09,-0.3087748866715635,-0.8026651983080916,0.092163736401953,1,Calm
1994-09-16,0.2037641488054581,-0.8419166191515164,0.1030155081201383,1,Calm
1994-09-23,-1.0850116366982652,-0.6297134789936741,0.0487566495292121,1,Calm
1994-09-30,0.2113338325737545,-0.6603786807722152,-0.005502209061714,1,Calm
1994-10-07,-0.7471445257690674,-0.5818757221069043,0.0487566495292121,1,Calm
1994-10-14,1.1918252062145032,-0.7781330602809509,0.0379048778110269,1,Calm
1994-10-21,-0.4341367769085097,-0.4604415511387124,0.0053495626564711,1,Calm
1994-10-28,0.7212617475588136,-0.626033570555757,-0.005502209061714,1,Calm
1994-11-04,-1.0766836313717412,-0.3574064544462609,-0.0163539807798992,1,Calm
1994-11-11,-0.0550223961576611,-0.3880716562248019,-0.0923163828071958,1,Calm
1994-11-18,-0.1400789845380282,-0.4494020597818838,-0.2442411868617889,1,Calm
1994-11-25,-0.8923193230051505,-0.2727704320295493,-0.4287213060709378,1,Calm
1994-12-02,0.0309666355198525,-0.3819387094518627,-0.6891638273073832,1,Calm
1994-12-09,-0.6438205740879356,-0.4444955151979944,-0.8085333162074206,1,Calm
1994-12-16,1.020042247051326,-0.8431432552974888,-0.8519404030801616,1,Calm
1994-12-23,0.0314597522707346,-0.9621242709521968,-0.9713098919801992,1,Calm
1994-12-30,-0.1116836960543617,-0.7928523430972354,-0.9279028051074582,1,Calm
1995-01-06,0.0654946930754211,-0.8014385621621192,-0.8410886313619764,1,Calm
1995-01-13,0.4109293956636479,-1.0504399678499028,-0.7651262293346798,1,Calm
1995-01-20,-0.1670422042193181,-0.9216462139628,-0.7434226858983093,1,Calm
1995-01-27,0.4349330921807662,-1.032040893574163,-0.6891638273073832,1,Calm
1995-02-03,0.6586600107739586,-1.0651593676446487,-0.7108673707437537,1,Calm
1995-02-10,0.1808066833922917,-1.0283611021147072,-0.775978001052865,1,Calm
1995-02-17,-0.0174974815848955,-0.975616917622509,-0.7000155990255684,1,Calm
1995-02-24,0.4622664667783085,-1.0823318057744162,-0.6132014252800867,1,Calm
1995-03-03,-0.289841704897197,-1.0075087555470223,-0.580646110125531,1,Calm
1995-03-10,0.2907969025650208,-0.8934341674977422,-0.6566085121528276,1,Calm
1995-03-17,0.438333913739255,-0.9645774262656804,-0.6240531969982719,1,Calm
1995-03-24,0.3911151233014396,-1.0394005934715358,-0.6023496535619015,1,Calm
1995-03-31,-0.0827563318103629,-0.7719999965295505,-0.6566085121528276,1,Calm
1995-04-07,0.4076911478480205,-0.8357835554001157,-0.5914978818437162,1,Calm
1995-04-14,0.1675680051767395,-1.0038289640875666,-0.5263872515346049,1,Calm
1995-04-21,-0.1214316216371005,-0.957217843346769,-0.4721283929436787,1,Calm
1995-04-28,0.4415566976896401,-0.9707104900170808,-0.580646110125531,1,Calm
1995-05-05,0.3711530383857379,-0.932685588341167,-0.5155354798164196,1,Calm
1995-05-12,0.3682537463746408,-0.9596709986602524,-0.580646110125531,1,Calm
1995-05-19,-0.5648406756216132,-0.840689983005544,-0.6349049687164572,1,Calm
1995-05-26,0.2924807201691828,-0.9155131502113992,-0.6240531969982719,1,Calm
1995-06-02,0.6326317687570663,-0.8198377534163206,-0.4829801646618639,1,Calm
1995-06-09,-0.417755579367158,-0.8468230467569445,-0.6674602838710127,1,Calm
1995-06-16,0.8598357612053145,-1.0933712971312448,-0.6132014252800867,1,Calm
1995-06-23,0.6888160944585681,-1.0479868125364196,-0.6349049687164572,1,Calm
1995-06-30,-0.4361552427044439,-1.016094974611906,-0.6349049687164572,1,Calm
1995-07-07,0.811648913403923,-0.9682572177251362,-0.5480907949709752,1,Calm
1995-07-14,0.1995553941394825,-0.9302324330276834,-0.6023496535619015,1,Calm
1995-07-21,-0.5270572462130148,-0.8946608036437146,-0.4612766212254935,1,Calm
1995-07-28,0.6284390672176408,-0.795305498410719,-0.4721283929436787,1,Calm
1995-08-04,-0.3554733660776266,-0.791625706951263,-0.4504248495073082,1,Calm
1995-08-11,-0.3456604612877361,-0.829650608627177,-0.5046837080982344,1,Calm
1995-08-18,0.2430651491415522,-0.936365496779084,-0.6132014252800867,1,Calm
1995-08-25,0.004482258737613,-0.8995672312491424,-0.5697943384073457,1,Calm
1995-09-01,0.2139665351262146,-1.0271344659687347,-0.6132014252800867,1,Calm
1995-09-08,0.5821077516782345,-1.0430803849309915,-0.6674602838710127,1,Calm
1995-09-15,0.702200681130685,-0.9915628365847654,-0.6566085121528276,1,Calm
1995-09-22,-0.1762996341312903,-0.883621312286886,-0.6566085121528276,1,Calm
1995-09-29,0.1288128772926937,-0.8492763190488892,-0.7217191424619388,1,Calm
1995-10-06,-0.1973852281056509,-0.6971769463021567,-0.732570914180124,1,Calm
1995-10-13,0.0811854761948035,-0.7352017309996093,-0.7651262293346798,1,Calm
1995-10-20,0.1476333923906196,-0.760960505172722,-0.7434226858983093,1,Calm
1995-10-27,-0.6112467402554376,-0.6174473514908732,-0.6457567404346424,1,Calm
1995-11-03,0.7070483649645982,-0.9081534503140264,-0.6023496535619015,1,Calm
1995-11-10,0.0890062849246823,-0.8210642725838316,-0.5697943384073457,1,Calm
1995-11-17,0.4484270385451124,-0.8799415208274303,-0.5914978818437162,1,Calm
1995-11-24,-0.0681805771424582,-0.9559912072007966,-0.6349049687164572,1,Calm
1995-12-01,0.4191427741846316,-1.049213448682392,-0.6674602838710127,1,Calm
1995-12-08,0.6480465534481417,-1.0479868125364196,-0.7217191424619388,1,Calm
1995-12-15,-0.1377091723135685,-1.0087353916929946,-0.6674602838710127,1,Calm
1995-12-22,-0.3569236771196967,-1.0001490556496495,-0.6240531969982719,1,Calm
1995-12-29,0.2068294651357126,-0.8762616123895132,-0.6566085121528276,1,Calm
1996-01-05,-0.0089409870446763,-0.7462412223564374,-0.5589425666891605,1,Calm
1996-01-12,-1.072794814248177,-0.6665117445236156,-0.4612766212254935,1,Calm
