,Date,Adj Close,Close,High,Low,Open,Volume
0,1994-01-07,469.8999938964844,469.8999938964844,470.260009765625,467.0299987792969,467.0899963378906,324920000
1,1994-01-14,474.9100036621094,474.9100036621094,475.3200073242188,472.5,472.5,304920000
2,1994-01-21,474.7200012207031,474.7200012207031,475.55999755859375,473.7200012207031,474.9800109863281,346350000
3,1994-01-28,478.7000122070313,478.7000122070313,479.75,477.0499877929688,477.0499877929688,313140000
4,1994-02-04,469.80999755859375,469.80999755859375,481.0199890136719,469.2799987792969,480.6799926757813,378380000
5,1994-02-11,470.1799926757813,470.1799926757813,471.1300048828125,466.8900146484375,468.9299926757813,213740000
6,1994-02-18,467.6900024414063,467.6900024414063,471.0899963378906,466.0700073242188,470.2900085449219,293210000
7,1994-02-25,466.0700073242188,466.0700073242188,466.4800109863281,464.3299865722656,464.3299865722656,273680000
8,1994-03-04,464.739990234375,464.739990234375,466.1600036621094,462.4100036621094,463.0299987792969,311850000
9,1994-03-11,466.4400024414063,466.4400024414063,466.6099853515625,462.5400085449219,463.8599853515625,303890000
10,1994-03-18,471.05999755859375,471.05999755859375,471.0899963378906,467.8299865722656,470.8900146484375,462240000
11,1994-03-25,460.5799865722656,460.5799865722656,465.2900085449219,460.5799865722656,464.3500061035156,249640000
12,1994-04-01,445.7699890136719,445.7699890136719,447.1600036621094,436.1600036621094,445.5499877929688,403580000
13,1994-04-08,447.1000061035156,447.1000061035156,450.8900146484375,445.510009765625,450.8900146484375,264090000
14,1994-04-15,446.1799926757813,446.1799926757813,447.8500061035156,445.80999755859375,446.3800048828125,309550000
15,1994-04-22,447.6300048828125,447.6300048828125,449.9599914550781,447.1600036621094,448.7300109863281,295710000
16,1994-04-29,450.9100036621094,450.9100036621094,451.3500061035156,447.9100036621094,449.0700073242188,293970000
17,1994-05-06,447.8200073242188,447.8200073242188,451.3699951171875,445.6400146484375,451.3699951171875,291910000
18,1994-05-13,444.1400146484375,444.1400146484375,444.7200012207031,441.2099914550781,443.6199951171875,252070000
19,1994-05-20,454.9200134277344,454.9200134277344,456.4800109863281,454.2200012207031,456.4800109863281,295180000
20,1994-05-27,457.3299865722656,457.3299865722656,457.3299865722656,454.6700134277344,457.0299987792969,186430000
21,1994-06-03,460.1300048828125,460.1300048828125,460.8599853515625,456.2699890136719,457.6499938964844,271490000
22,1994-06-10,458.6700134277344,458.6700134277344,459.4800109863281,457.3599853515625,457.8599853515625,222480000
23,1994-06-17,458.4500122070313,458.4500122070313,462.1600036621094,458.4400024414063,461.9299926757813,373450000
24,1994-06-24,442.7999877929688,442.7999877929688,449.6300048828125,442.510009765625,449.6300048828125,261260000
25,1994-07-01,446.2000122070313,446.2000122070313,446.4500122070313,443.5799865722656,444.2699890136719,199030000
26,1994-07-08,449.5499877929688,449.5499877929688,449.75,446.5299987792969,448.3800048828125,236520000
27,1994-07-15,454.1600036621094,454.1600036621094,454.3299865722656,452.7999877929688,453.2799987792969,275860000
28,1994-07-22,453.1099853515625,453.1099853515625,454.0299987792969,452.3299865722656,452.6099853515625,261600000
29,1994-07-29,458.260009765625,458.260009765625,459.3299865722656,454.25,454.25,269560000
30,1994-08-05,457.0899963378906,457.0899963378906,458.3399963378906,456.0799865722656,458.3399963378906,230270000
31,1994-08-12,461.9400024414063,461.9400024414063,462.2699890136719,458.8800048828125,458.8800048828125,249280000
32,1994-08-19,463.6799926757813,463.6799926757813,464.3699951171875,461.80999755859375,463.25,276630000
33,1994-08-26,473.7999877929688,473.7999877929688,474.6499938964844,468.0799865722656,468.0799865722656,305120000
34,1994-09-02,470.989990234375,470.989990234375,474.8900146484375,470.6700134277344,473.2000122070313,216150000
35,1994-09-09,468.1799926757813,468.1799926757813,473.1300048828125,466.5499877929688,473.1300048828125,293360000
36,1994-09-16,471.1900024414063,471.1900024414063,474.80999755859375,470.05999755859375,474.80999755859375,410750000
37,1994-09-23,459.6700134277344,459.6700134277344,462.1400146484375,459.010009765625,461.2699890136719,300060000
38,1994-09-30,462.7099914550781,462.7099914550781,465.2999877929688,461.9100036621094,462.2699890136719,291900000
