Date,SP500,SP500_Return,VIX,Yield_Spread,Regime_HMM,Regime_label
1994-01-14,474.9100036621094,0.0106054269893869,11.149999618530272,1.61,2,Transitional
1994-01-21,474.7200012207031,-0.0004001609952606,11.09000015258789,1.64,2,Transitional
1994-01-28,478.7000122070313,0.0083489627849129,9.9399995803833,1.6,2,Transitional
1994-02-04,469.80999755859375,-0.0187457694436785,15.25,1.52,2,Transitional
1994-02-11,470.1799926757813,0.0007872320772346,14.460000038146973,1.44,2,Transitional
1994-02-18,467.6900024414063,-0.0053098960362838,14.699999809265137,1.52,2,Transitional
1994-02-25,466.0700073242188,-0.0034698353444291,14.800000190734863,1.49,2,Transitional
1994-03-04,464.739990234375,-0.0028577647393115,16.0,1.5,2,Transitional
1994-03-11,466.4400024414063,0.0036513114738854,14.869999885559082,1.51,2,Transitional
1994-03-18,471.05999755859375,0.0098560693691673,13.31999969482422,1.46,2,Transitional
1994-03-25,460.5799865722656,-0.0224989335895244,13.670000076293944,1.51,2,Transitional
1994-04-01,445.7699890136719,-0.0326834363752688,20.450000762939453,1.56,2,Transitional
1994-04-08,447.1000061035156,0.002979197600645,16.920000076293945,1.51,2,Transitional
1994-04-15,446.1799926757813,-0.0020598552621642,15.979999542236328,1.46,2,Transitional
1994-04-22,447.6300048828125,0.0032445675994701,14.9399995803833,1.31,2,Transitional
1994-04-29,450.9100036621094,0.0073007619406153,13.770000457763672,1.33,2,Transitional
1994-05-06,447.8200073242188,-0.006876388850733,15.079999923706056,1.23,2,Transitional
1994-05-13,444.1400146484375,-0.0082515212907763,14.539999961853027,1.24,2,Transitional
1994-05-20,454.9200134277344,0.023981747805247,12.789999961853027,1.22,2,Transitional
1994-05-27,457.3299865722656,0.0052835927673342,12.489999771118164,1.15,2,Transitional
1994-06-03,460.1300048828125,0.0061038672640165,12.1899995803833,1.14,2,Transitional
1994-06-10,458.6700134277344,-0.003178042348285,12.6899995803833,1.18,2,Transitional
1994-06-17,458.4500122070313,-0.0004797653933481,12.3100004196167,1.26,2,Transitional
1994-06-24,442.7999877929688,-0.0347330878559946,16.719999313354492,1.16,2,Transitional
1994-07-01,446.2000122070313,0.0076491360895287,14.359999656677246,1.15,2,Transitional
1994-07-08,449.5499877929688,0.0074797459207029,13.260000228881836,1.17,2,Transitional
1994-07-15,454.1600036621094,0.0102025116490569,11.279999732971191,1.21,2,Transitional
1994-07-22,453.1099853515625,-0.0023146776418734,11.220000267028809,1.14,2,Transitional
1994-07-29,458.260009765625,0.0113018406573486,11.130000114440918,1.13,2,Transitional
1994-08-05,457.0899963378906,-0.0025564299057956,12.34000015258789,1.1,2,Transitional
1994-08-12,461.9400024414063,0.0105547177675004,11.09000015258789,1.05,2,Transitional
1994-08-19,463.6799926757813,0.0037596255333403,12.829999923706056,1.04,2,Transitional
1994-08-26,473.7999877929688,0.0215906226241138,12.1899995803833,1.03,2,Transitional
1994-09-02,470.989990234375,-0.0059484243263119,11.399999618530272,1.04,2,Transitional
1994-09-09,468.1799926757813,-0.005984019921569,13.119999885559082,1.09,2,Transitional
1994-09-16,471.1900024414063,0.0064085931699731,12.800000190734863,1.1,2,Transitional
1994-09-23,459.6700134277344,-0.0247525449404761,14.529999732971191,1.05,2,Transitional
1994-09-30,462.7099914550781,0.0065916195458637,14.279999732971191,1.0,2,Transitional
1994-10-07,455.1000061035156,-0.0165833010540943,14.920000076293944,1.05,2,Transitional
1994-10-14,469.1000061035156,0.030298789911562,13.31999969482422,1.04,2,Transitional
1994-10-21,464.8900146484375,-0.0090151283730159,15.90999984741211,1.01,2,Transitional
1994-10-28,473.7699890136719,0.018921098702715,14.5600004196167,1.0,2,Transitional
1994-11-04,462.2799987792969,-0.0245511832086036,16.75,0.99,2,Transitional
1994-11-11,462.3500061035156,0.0001514277580936,16.5,0.92,2,Transitional
1994-11-18,461.4700012207031,-0.0019051441666251,16.0,0.78,2,Transitional
1994-11-25,452.2900085449219,-0.020093463145681,17.440000534057617,0.61,1,Calm
1994-12-02,453.2999877929688,0.0022305451051352,16.549999237060547,0.37,1,Calm
1994-12-09,446.9599914550781,-0.0140850449845224,16.040000915527344,0.26,1,Calm
1994-12-16,458.7999877929688,0.0261452726157562,12.789999961853027,0.22,1,Calm
1994-12-23,459.8299865722656,0.0022424681093928,11.81999969482422,0.11,1,Calm
1994-12-30,459.2699890136719,-0.0012185782673599,13.199999809265137,0.15,1,Calm
1995-01-06,460.6799926757813,0.0030653944111787,13.130000114440918,0.23,1,Calm
1995-01-13,465.9700012207031,0.0114176140886197,11.100000381469728,0.3,1,Calm
1995-01-20,464.7799987792969,-0.0025570842650051,12.149999618530272,0.32,1,Calm
1995-01-27,470.3900146484375,0.0119979962704892,11.25,0.37,1,Calm
1995-02-03,478.6499938964844,0.0174074596447431,10.979999542236328,0.35,1,Calm
1995-02-10,481.4599914550781,0.0058535076706549,11.279999732971191,0.29,1,Calm
1995-02-17,481.9700012207031,0.0010587376709096,11.710000038146973,0.36,1,Calm
1995-02-24,488.1099853515625,0.0126588862953012,10.84000015258789,0.44,1,Calm
1995-03-03,485.4200134277344,-0.0055262370404989,11.449999809265137,0.47,1,Calm
1995-03-10,489.5700073242188,0.0085129465342586,12.380000114440918,0.4,1,Calm
1995-03-17,495.5199890136719,0.0120802242821147,11.800000190734863,0.43,1,Calm
1995-03-24,500.9700012207031,0.010938527435548,11.1899995803833,0.45,1,Calm
1995-03-31,500.7099914550781,-0.0005191473791343,13.369999885559082,0.4,1,Calm
1995-04-07,506.4200134277344,0.0113393169258753,12.850000381469728,0.46,1,Calm
1995-04-14,509.2300109863281,0.0055334114328804,11.479999542236328,0.52,1,Calm
1995-04-21,508.489990234375,-0.0014542720620376,11.859999656677246,0.57,1,Calm
1995-04-28,514.7100219726562,0.0121581475461205,11.75,0.47,1,Calm
1995-05-05,520.1199951171875,0.0104558668424274,12.0600004196167,0.53,1,Calm
1995-05-12,525.5499877929688,0.010385765246947,11.84000015258789,0.47,1,Calm
1995-05-19,519.1900024414062,-0.0121754005360914,12.8100004196167,0.42,1,Calm
1995-05-26,523.6500244140625,0.0085536593359005,12.199999809265137,0.43,1,Calm
1995-06-02,532.510009765625,0.0167781262468134,12.979999542236328,0.56,1,Calm
1995-06-09,527.9400024414062,-0.0086190495789058,12.760000228881836,0.39,1,Calm
1995-06-16,539.8300170898438,0.0222716613268181,10.75,0.44,1,Calm
1995-06-23,549.7100219726562,0.0181365995767128,11.119999885559082,0.42,1,Calm
1995-06-30,544.75,-0.0090639325887265,11.380000114440918,0.42,1,Calm
